id,created_at,author_id,text
1905238931077243287,2025-03-27 12:42:13+00:00,66169750,"Too Big To Fail: Danantara &amp; Too Small To Success: Koperasi 
https://t.co/kAETZJnXeA via @YouTube"
1905237973525987380,2025-03-27 12:38:25+00:00,212227886,why the cio of danantara looks like wilson fisk
1905236386678272266,2025-03-27 12:32:06+00:00,26254527,"American billionaire Ray Dalio, former Thai Prime Minister Thaksin Shinawatra and US economist Jeffrey Sachs are among 22 prominent figures appointed to Indonesia's sovereign wealth fund.

https://t.co/JLXBbw9HOq https://t.co/vZz3h2YJNH https://t.co/PVedU3IqAa"
1905235883923734944,2025-03-27 12:30:06+00:00,560127069,"Are you fcking kidding me?!! 🤣🤣🤣

https://t.co/hKslxhcjlG"
1905230671993536989,2025-03-27 12:09:24+00:00,1221714030756151298,"Ray Dalio, a China investment expert, will advise Indonesia’s new $900 billion sovereign wealth fund https://t.co/lxN7ryojAi"
1905220717324673044,2025-03-27 11:29:50+00:00,1525339275113676800,Props to @wiuindonesia thats interview are very helpful to see closer  what is Danantara
1905220383164252533,2025-03-27 11:28:31+00:00,1525339275113676800,"Coz despite my personal dissagrement and skepticism about Danantara as a whole, at the very least i know where they want to take Danantara, the forecast for the future, challenges and stuff."
1905220006566043976,2025-03-27 11:27:01+00:00,1496829045564387328,"@txtfromIR Dear pres, I saw several on the danantara"
1905219842635948229,2025-03-27 11:26:22+00:00,1525339275113676800,"Just finish watchin the interview of Danantara CIO on WIUI, and guess what? his level of understanding and the way he deliver information to public at media, should be the MINIMUM standard of ALL OUR PUBLIC OFFICIALS imo."
1905194284133093653,2025-03-27 09:44:48+00:00,1731314317411368960,Bro literally recruiting  non indo to danantara who tf u mean by asing
1905155943563956330,2025-03-27 07:12:27+00:00,493314466,@AJEnglish @DivHumas_Polri and @Puspen_TNI they are zionist. @prabowo fasis Indonesian president. Anti critic goverment. Biggest corruptor for MBG and Danantara.
1905130909969666517,2025-03-27 05:32:59+00:00,230040058,"meanwhile Danantara......

🥰 https://t.co/nzN0idy6Zp"
1905123364462862791,2025-03-27 05:03:00+00:00,1208386446467334144,He better keep his eyes on the white dudes he hired for danantara https://t.co/xo96FX5Hr1
1905114986135138349,2025-03-27 04:29:42+00:00,989666551379910657,@hnirankara Best of Best Experience World Experts and Philanthropists ! I pray DANANTARA to succeed !
1905111004356149607,2025-03-27 04:13:53+00:00,1631607061053333505,"@CNNIndonesia Another commissioner from political party. What kind of partisan financial/political benefit they seek from the position? Will it serve the corporate (Danantara’s) purpose, @RayDalio"
1905109444582842709,2025-03-27 04:07:41+00:00,1885366744967241731,"@NESVERLAND Danantara effect, big farma low impact🤫"
1905108505792799132,2025-03-27 04:03:57+00:00,601062392,"Danantara unveils 19-member management team, poaches executives from INA https://t.co/UhcH876L1f"
1905104007615373583,2025-03-27 03:46:05+00:00,2406323088,Indonesian sovereign wealth fund Danantara has a newly constituted team which includes influential members and political figures. https://t.co/KISZ2A1Zak
1905049562710225407,2025-03-27 00:09:44+00:00,1806233474220892160,"@mas_veel I think the one who provided the biggest funding for the Danantara project was Mr. Evriel van Helsing, who was a descendant of Dutch nobility who had been naturalized as an Indonesian citizen. 🔥🔥🔥"
1905032529440387209,2025-03-26 23:02:03+00:00,1631607061053333505,"@OposisiCerdas Hi @RayDalio , one of Indonesian Danantara’s Bank, BTN will be commissioned by politician from non-parliamentary party. Do you see this as potential threat for the meritocracy within the Danantara’s governance?"
1905022123510505748,2025-03-26 22:20:42+00:00,1837970900001648640,"Another bad recorded for #Danantara Indonesia SWF, after former Thailand PM corruption case. The biggest repeated mismanagement scandal #creditsuisse
https://t.co/tNxYkxBchc"
1905008363823640797,2025-03-26 21:26:01+00:00,1589640332907454465,"I know zero to hundrednya holding danantara itu, and the reason behind,  now im scared af."
1904952139773849694,2025-03-26 17:42:37+00:00,22161314,"Bees, butterflies and beetles — bill would allo https://t.co/vftLZ7XFHm

Danantara may work with National Development Ba https://t.co/qIj4vhZG5o

Chinese expert doubts US role as mediator in pe https://t.co/4lTn1thBcR"
1904935223609242054,2025-03-26 16:35:23+00:00,1401713000,"Making justice based on materialism, as she turned her veil over her eyes,

and took sides, is the irony of a tyrant. Why do you keep squeezing Rakyat?

Are we only a doll to you? #CabutUUTNI #TolakDwifungsiABRI #TolakRUUPolri #TolakRUUKejaksaan

Ouch Danantara $eth Emyu baby 🖤 https://t.co/v5HJzBtLDV"
1904895036984352952,2025-03-26 13:55:42+00:00,1752917597128151040,@Saham_fess LET'S GOOOOOOO DANANTARA MY GOATTTTTT https://t.co/29GeWbg0u8
1904879766500761830,2025-03-26 12:55:01+00:00,59079144,"@indrawxyz I have no hope. Did you know that danantara right now mostly, not all of it, still paper money? Its like glass half full. 

Its all asset switch."
1904865776064225565,2025-03-26 11:59:26+00:00,1052820197361348608,"Ray Dalio just got named as an advisor for Indonesia’s $900B sovereign wealth fund, Danantara.

He is pretty pro-Bitcoin, so fingers crossed he convinces the government to dive into crypto. https://t.co/x7NHp4MoAp"
1904861713415229503,2025-03-26 11:43:17+00:00,1436726973552730112,"This process will hurt a lot but maybe very necessary. But I am a bit sceptical if this is possible. In any case people really need to watch Danantara very closely from now on, seriously. It's literally too big to fail, if this fails we'll lose a lot of money, to say the least."
1904852091446976932,2025-03-26 11:05:03+00:00,1749939701946171392,"@tempodotco Someone who is an expert in Economics or international finance, please tell him. Prof Sachs, I think before you give advice about Danantara, you should at least educate him on the basics of financial economics or investment theories."
1904839591980396654,2025-03-26 10:15:23+00:00,1169737290324697088,Listen back after he entered danantara https://t.co/jIJKakDbK7
1904830356508848154,2025-03-26 09:38:41+00:00,1871503048373346304,"VENOM FUSION ARIEL...😘😘😘
.
https://t.co/BDSJMqS6aN
.
#selamatjudi #lionmegaways #MakzulkanPrabowoGibran #Hubner #SupremasiSipil #BisnisHaramRezaGladys #Pelupessy #Arhan #SHOWYOURDIGNITY #GagalkanUUTNI #KNOWABOUTME1stWin #NMIXX9thWin #Argentina #Danantara https://t.co/ZwQ4bVMymo"
1904828410037494164,2025-03-26 09:30:57+00:00,1401713000,"The quality of your life is dependent on the quality of your decisions, Danantara GAIJIN says.

Honestly, I feel embarrassed to stand up for Palestine

because we have a super-repressive ACAB as Zionists. At least we stare at the mirror.

$eth IHSG Emyu baby #CabutUUTNI 😹😆😹"
1904820904904790243,2025-03-26 09:01:08+00:00,436429668,"Indonesia's four-week-old sovereign wealth fund will seek to earn $8 billion a year -- a 60% increase on the current level -- in dividends from state-owned enterprises (SOEs), according to its chief investment officer.
https://t.co/wDkIQYttp1"
1904819944048517475,2025-03-26 08:57:19+00:00,1401713000,"And you tend to play the capitalist economy with Danantara, phew.

So 'Koperasi Nusantara' and 'Berdikari' have now left the rhetoric, awe.

Ouch Danantara $eth IHSG Emyu baby #CabutUUTNI 😹😆😹"
1904819185135607854,2025-03-26 08:54:18+00:00,1401713000,"I know we can't compete with the global economy alone as we only have 5K GDP,

which means we're just laborers in the southern hemisphere.

Ouch Danantara $eth IHSG Emyu baby #CabutUUTNI 😹😆😹"
1904812242400350223,2025-03-26 08:26:42+00:00,1059125549736415232,"Military/Government-owned businesses (like PT Danantara) will operate beyond civilian control. These ""military foundations"" will become cash cows for high-ranking officers, funding both personal wealth &amp; political dominance. This is how @prabowo will stay in power."
